Date Time Diftime[microsec] /quatW quatX quatY quatZ /accelX accelY accelZ /gyroX gyroY gyroZ /eulerX eulerY eulerZ /heading
 11.1002 10.9266 128.662 231.338
2018-Nov-26 11:29:15.846612 5691 0.383805 0.0527362 0.0720776 0.919085 0.169739 0.16095 0.992615 -13.916 20.6909 27.2217 9.96063 -2.42133 134.881 225.119
2018-Nov-26 11:29:15.851650 5038 0.382783 0.0523986 0.0715588 0.919571 0.162537 0.148254 0.995056 -12.0239 17.334 23.6816 9.88791 -2.41931 135.009 224.991
2018-Nov-26 11:29:15.856555 4905 0.381884 0.0522893 0.0710061 0.919994 0.163513 0.150818 0.992126 -10.5591 11.6577 20.9961 9.82195 -2.44176 135.124 224.876
2018-Nov-26 11:29:15.862791 6236 0.381085 0.0522717 0.0704956 0.920365 0.170349 0.149719 0.990112 -9.09424 10.437 18.4326 9.76476 -2.47098 135.226 224.774
2018-Nov-26 11:29:15.866140 3349 0.38035 0.0521032 0.0701216 0.920708 0.171448 0.148438 0.982483 -7.62939 15.0146 16.4185 9.71561 -2.47722 135.319 224.681
2018-Nov-26 11:29:15.870709 4569 0.379675 0.0516351 0.0699378 0.921026 0.167542 0.156982 0.974365 -7.01904 22.8271 14.2822 9.67377 -2.44231 135.401 224.599
2018-Nov-26 11:29:15.876692 5983 0.379072 0.0508331 0.0699357 0.921319 0.158447 0.158569 0.97583 -6.71387 30.7007 11.9629 9.63698 -2.36282 135.47 224.53
2018-Nov-26 11:29:15.880917 4225 0.378551 0.0497812 0.0700389 0.921583 0.144836 0.155457 0.96814 -6.71387 35.6445 9.58252 9.60081 -2.25108 135.527 224.473
2018-Nov-26 11:29:15.888286 7369 0.378138 0.0486748 0.070151 0.921803 0.135498 0.153137 0.96698 -6.89697 35.7056 6.95801 9.5636 -2.13193 135.57 224.43
2018-Nov-26 11:29:15.890788 2502 0.377873 0.0477258 0.0701655 0.92196 0.130981 0.150269 0.961548 -7.50732 30.7617 3.72314 9.52325 -2.03236 135.596 224.404
2018-Nov-26 11:29:15.896497 5709 0.377779 0.0470701 0.0700618 0.92204 0.132141 0.160706 0.960327 -8.23975 23.2544 0.0610352 9.48351 -1.96761 135.603 224.397
